date,boarding_count,alighting_count,passenger_count,service_number,bus_stop_id
2022/02/01,1,0,1,1,1
2022/02/01,3,0,4,1,2
2022/02/01,1,0,5,1,3
2022/02/01,1,0,6,1,4
2022/02/01,0,7,-1,1,5
2022/02/01,0,0,0,2,1
2022/02/01,5,0,5,2,2
2022/02/01,1,0,6,2,3
2022/02/01,1,0,7,2,4
2022/02/01,0,8,-1,2,5
2022/02/01,3,0,3,3,1
2022/02/01,6,0,9,3,2
2022/02/01,4,0,13,3,3
2022/02/01,7,0,20,3,4
2022/02/01,0,19,1,3,5
2022/02/01,0,0,0,4,1
2022/02/01,3,0,3,4,2
2022/02/01,5,0,8,4,3
2022/02/01,7,0,15,4,4
2022/02/01,0,13,2,4,5
2022/02/01,3,0,3,5,1
2022/02/01,7,0,10,5,2
2022/02/01,5,0,15,5,3
2022/02/01,7,0,22,5,4
2022/02/01,0,23,-1,5,5
2022/02/01,1,0,1,6,1
2022/02/01,4,0,5,6,2
2022/02/01,1,0,6,6,3
2022/02/01,4,0,10,6,4
2022/02/01,1,10,1,6,5
2022/02/01,2,0,2,7,1
2022/02/01,1,0,3,7,2
2022/02/01,1,0,4,7,3
2022/02/01,0,0,4,7,4
2022/02/01,0,4,0,7,5
2022/02/01,1,0,1,8,1
2022/02/01,5,0,6,8,2
2022/02/01,0,0,6,8,3
2022/02/01,4,0,10,8,4
2022/02/01,1,8,3,8,5
2022/02/01,1,0,1,9,1
2022/02/01,4,0,5,9,2
2022/02/01,1,0,6,9,3
2022/02/01,5,0,11,9,4
2022/02/01,0,11,0,9,5
2022/02/01,2,0,2,10,1
2022/02/01,3,0,5,10,2
2022/02/01,0,0,5,10,3
2022/02/01,6,0,11,10,4
2022/02/01,0,10,1,10,5
2022/02/01,3,0,3,11,1
2022/02/01,0,0,3,11,2
2022/02/01,0,0,3,11,3
2022/02/01,6,0,9,11,4
2022/02/01,0,6,3,11,5
2022/02/01,0,0,0,12,1
2022/02/01,0,0,0,12,2
2022/02/01,1,0,1,12,3
2022/02/01,5,0,6,12,4
2022/02/01,0,5,1,12,5
2022/02/01,0,0,0,13,1
2022/02/01,1,0,1,13,2
2022/02/01,1,0,2,13,3
2022/02/01,3,0,5,13,4
2022/02/01,0,6,-1,13,5
2022/02/01,1,0,1,14,1
2022/02/01,1,0,2,14,2
2022/02/01,0,0,2,14,3
2022/02/01,4,0,6,14,4
2022/02/01,0,5,1,14,5
2022/02/01,0,0,0,15,1
2022/02/01,4,0,4,15,2
2022/02/01,1,0,5,15,3
2022/02/01,8,0,13,15,4
2022/02/01,0,12,1,15,5
2022/02/01,5,0,5,16,1
2022/02/01,0,0,0,16,2
2022/02/01,0,0,0,16,3
2022/02/01,5,0,5,16,4
2022/02/01,0,4,1,16,5
2022/02/01,0,0,0,17,1
2022/02/01,2,0,7,17,2
2022/02/01,0,0,7,17,3
2022/02/01,4,0,11,17,4
2022/02/01,0,8,3,17,5
2022/02/01,0,0,0,18,1
2022/02/01,1,0,1,18,2
2022/02/01,1,0,2,18,3
2022/02/01,2,0,4,18,4
2022/02/01,0,3,1,18,5
2022/02/01,2,0,2,19,1
2022/02/01,2,0,4,19,2
2022/02/01,1,0,5,19,3
2022/02/01,17,0,22,19,4
2022/02/01,0,19,3,19,5
2022/02/01,2,0,2,20,1
2022/02/01,0,0,2,20,2
2022/02/01,0,0,2,20,3
2022/02/01,2,0,4,20,4
2022/02/01,0,2,2,20,5
2022/02/01,3,0,3,21,1
2022/02/01,0,0,3,21,2
2022/02/01,0,0,3,21,3
2022/02/01,6,0,9,21,4
2022/02/01,0,5,4,21,5
2022/02/01,0,0,0,22,1
2022/02/01,1,0,1,22,2
2022/02/01,0,0,1,22,3
2022/02/01,3,0,4,22,4
2022/02/01,0,4,0,22,5
2022/02/01,1,0,1,23,1
2022/02/01,0,0,1,23,2
2022/02/01,0,0,1,23,3
2022/02/01,2,0,3,23,4
2022/02/01,0,1,2,23,5
2022/02/01,1,0,1,24,1
2022/02/01,1,0,2,24,2
2022/02/01,0,0,2,24,3
2022/02/01,0,0,2,24,4
2022/02/01,0,1,1,24,5
2022/02/01,1,0,1,25,1
2022/02/01,0,0,1,25,2
2022/02/01,0,0,1,25,3
2022/02/01,0,0,1,25,4
2022/02/01,0,0,1,25,5
2022/02/01,1,0,1,26,1
2022/02/01,1,0,2,26,2
2022/02/01,0,0,2,26,3
2022/02/01,1,0,3,26,4
2022/02/01,0,1,2,26,5
2022/02/02,1,0,1,1,1
2022/02/02,1,0,2,1,2
