date,boarding_count,alighting_count,passenger_count,service_number,bus_stop_id
2022/09/01,1,0,1,1,1
2022/09/01,1,0,2,1,2
2022/09/01,0,0,2,1,3
2022/09/01,5,0,7,1,4
2022/09/01,0,2,5,1,5
2022/09/01,0,0,0,2,1
2022/09/01,4,0,4,2,2
2022/09/01,1,0,5,2,3
2022/09/01,3,0,8,2,4
2022/09/01,0,6,2,2,5
2022/09/01,0,0,0,3,1
2022/09/01,7,0,7,3,2
2022/09/01,2,0,9,3,3
2022/09/01,5,0,14,3,4
2022/09/01,0,11,3,3,5
2022/09/01,4,0,4,4,1
2022/09/01,9,0,13,4,2
2022/09/01,4,0,17,4,3
2022/09/01,8,0,25,4,4
2022/09/01,0,15,10,4,5
2022/09/01,2,0,2,5,1
2022/09/01,7,0,9,5,2
2022/09/01,2,0,11,5,3
2022/09/01,5,0,16,5,4
2022/09/01,0,14,2,5,5
2022/09/01,2,0,2,6,1
2022/09/01,3,0,5,6,2
2022/09/01,3,0,8,6,3
2022/09/01,1,0,9,6,4
2022/09/01,0,7,2,6,5
2022/09/01,2,0,2,7,1
2022/09/01,6,0,8,7,2
2022/09/01,4,0,12,7,3
2022/09/01,4,0,16,7,4
2022/09/01,0,16,0,7,5
2022/09/01,1,0,1,8,1
2022/09/01,3,0,4,8,2
2022/09/01,2,0,6,8,3
2022/09/01,1,0,7,8,4
2022/09/01,0,6,1,8,5
2022/09/01,2,0,2,9,1
2022/09/01,4,0,6,9,2
2022/09/01,0,0,6,9,3
2022/09/01,6,0,12,9,4
2022/09/01,0,10,2,9,5
2022/09/01,7,0,7,10,1
2022/09/01,6,0,13,10,2
2022/09/01,0,0,13,10,3
2022/09/01,7,0,20,10,4
2022/09/01,0,14,6,10,5
2022/09/01,3,0,3,11,1
2022/09/01,1,0,4,11,2
2022/09/01,0,0,4,11,3
2022/09/01,5,0,9,11,4
2022/09/01,0,6,3,11,5
2022/09/01,0,0,0,12,1
2022/09/01,1,0,1,12,2
2022/09/01,1,0,2,12,3
2022/09/01,4,0,6,12,4
2022/09/01,0,6,0,12,5
2022/09/01,1,0,1,13,1
2022/09/01,1,0,2,13,2
2022/09/01,0,0,2,13,3
2022/09/01,4,0,6,13,4
2022/09/01,0,5,1,13,5
2022/09/01,1,0,1,14,1
2022/09/01,2,0,3,14,2
2022/09/01,1,0,4,14,3
2022/09/01,2,0,6,14,4
2022/09/01,1,5,2,14,5
2022/09/01,1,0,1,15,1
2022/09/01,6,0,7,15,2
2022/09/01,3,0,10,15,3
2022/09/01,9,0,19,15,4
2022/09/01,0,16,3,15,5
2022/09/01,0,0,0,16,1
2022/09/01,0,0,0,16,2
2022/09/01,0,0,0,16,3
2022/09/01,4,0,4,16,4
2022/09/01,0,4,0,16,5
2022/09/01,3,0,3,17,1
2022/09/01,4,0,7,17,2
2022/09/01,0,0,7,17,3
2022/09/01,8,0,15,17,4
2022/09/01,0,13,2,17,5
2022/09/01,0,0,0,18,1
2022/09/01,2,0,2,18,2
2022/09/01,1,0,3,18,3
2022/09/01,6,0,9,18,4
2022/09/01,0,7,2,18,5
2022/09/01,1,0,1,19,1
2022/09/01,1,0,2,19,2
2022/09/01,2,0,4,19,3
2022/09/01,7,0,11,19,4
2022/09/01,1,10,2,19,5
2022/09/01,2,0,2,20,1
2022/09/01,1,0,3,20,2
2022/09/01,1,0,4,20,3
2022/09/01,4,0,8,20,4
2022/09/01,0,6,2,20,5
2022/09/01,2,0,2,21,1
2022/09/01,3,0,5,21,2
2022/09/01,0,0,5,21,3
2022/09/01,1,0,6,21,4
2022/09/01,0,3,3,21,5
2022/09/01,0,0,0,22,1
2022/09/01,2,1,1,22,2
2022/09/01,0,0,1,22,3
2022/09/01,2,0,3,22,4
2022/09/01,0,2,1,22,5
2022/09/01,2,0,2,23,1
2022/09/01,2,0,4,23,2
2022/09/01,1,0,5,23,3
2022/09/01,1,0,6,23,4
2022/09/01,0,4,2,23,5
2022/09/01,0,0,0,24,1
2022/09/01,0,0,0,24,2
2022/09/01,0,0,0,24,3
2022/09/01,1,0,1,24,4
2022/09/01,0,1,0,24,5
2022/09/01,0,0,0,25,1
2022/09/01,0,0,0,25,2
2022/09/01,0,0,0,25,3
2022/09/01,1,0,1,25,4
2022/09/01,1,1,1,25,5
2022/09/01,0,0,0,26,1
2022/09/01,0,0,0,26,2
2022/09/01,0,0,0,26,3
2022/09/01,0,0,0,26,4
2022/09/01,0,0,0,26,5
2022/09/02,2,0,2,1,1
2022/09/02,1,0,3,1,2
2022/09/02,2,0,5,1,3
2022/09/02,2,0,7,1,4
2022/09/02,0,5,2,1,5
2022/09/02,0,0,0,2,1
2022/09/02,7,0,7,2,2
2022/09/02,1,0,8,2,3
2022/09/02,0,0,8,2,4
2022/09/02,0,6,2,2,5
2022/09/02,1,0,1,3,1
2022/09/02,7,0,8,3,2
2022/09/02,5,0,13,3,3
2022/09/02,2,0,15,3,4
2022/09/02,0,15,0,3,5
2022/09/02,3,0,3,4,1
2022/09/02,11,0,14,4,2
2022/09/02,6,0,20,4,3
2022/09/02,5,0,25,4,4
2022/09/02,0,16,9,4,5
2022/09/02,1,0,1,5,1
2022/09/02,7,0,8,5,2
2022/09/02,2,0,10,5,3
2022/09/02,6,0,16,5,4
2022/09/02,0,11,5,5,5
2022/09/02,0,0,0,6,1
2022/09/02,7,0,7,6,2
2022/09/02,3,0,10,6,3
2022/09/02,4,0,14,6,4
2022/09/02,0,12,2,6,5
2022/09/02,0,0,0,7,1
2022/09/02,5,0,5,7,2
2022/09/02,1,0,6,7,3
2022/09/02,2,0,8,7,4
2022/09/02,0,8,0,7,5
2022/09/02,1,0,1,8,1
2022/09/02,5,0,6,8,2
2022/09/02,0,0,6,8,3
2022/09/02,1,0,7,8,4
2022/09/02,0,5,2,8,5
2022/09/02,0,0,0,9,1
2022/09/02,4,0,4,9,2
2022/09/02,4,0,8,9,3
2022/09/02,7,0,15,9,4
2022/09/02,0,14,1,9,5
2022/09/02,6,0,6,10,1
2022/09/02,4,0,10,10,2
2022/09/02,1,0,11,10,3
2022/09/02,5,0,16,10,4
2022/09/02,0,15,1,10,5
2022/09/02,1,0,1,11,1
2022/09/02,7,0,8,11,2
2022/09/02,2,0,10,11,3
2022/09/02,5,0,15,11,4
2022/09/02,0,13,2,11,5
2022/09/02,1,0,1,12,1
2022/09/02,6,0,7,12,2
2022/09/02,0,0,7,12,3
2022/09/02,7,0,14,12,4
2022/09/02,0,12,2,12,5
2022/09/02,1,0,1,13,1
2022/09/02,0,0,1,13,2
2022/09/02,0,0,1,13,3
2022/09/02,8,0,9,13,4
2022/09/02,0,8,1,13,5
2022/09/02,1,0,1,14,1
2022/09/02,1,0,2,14,2
2022/09/02,1,0,3,14,3
2022/09/02,6,0,9,14,4
2022/09/02,0,7,2,14,5
2022/09/02,3,0,3,15,1
2022/09/02,2,0,5,15,2
2022/09/02,0,0,5,15,3
2022/09/02,7,0,12,15,4
2022/09/02,0,10,2,15,5
2022/09/02,0,0,0,16,1
2022/09/02,2,0,2,16,2
2022/09/02,0,0,2,16,3
2022/09/02,6,0,8,16,4
2022/09/02,0,8,0,16,5
2022/09/02,1,0,1,17,1
2022/09/02,2,0,3,17,2
2022/09/02,0,0,3,17,3
2022/09/02,6,0,9,17,4
2022/09/02,0,7,2,17,5
2022/09/02,1,0,1,18,1
2022/09/02,0,0,1,18,2
2022/09/02,0,0,1,18,3
2022/09/02,6,0,7,18,4
2022/09/02,0,7,0,18,5
2022/09/02,1,0,1,19,1
2022/09/02,1,0,2,19,2
2022/09/02,2,0,4,19,3
2022/09/02,8,0,12,19,4
2022/09/02,0,12,0,19,5
2022/09/02,1,0,1,20,1
2022/09/02,1,0,2,20,2
2022/09/02,0,0,2,20,3
2022/09/02,4,0,6,20,4
2022/09/02,0,4,2,20,5
2022/09/02,,0,,21,1
2022/09/02,,,,21,2
2022/09/02,,,,21,3
2022/09/02,,,,21,4
2022/09/02,,,,21,5
2022/09/02,1,0,1,22,1
2022/09/02,0,0,1,22,2
2022/09/02,0,0,1,22,3
2022/09/02,4,0,5,22,4
2022/09/02,0,4,1,22,5
2022/09/02,3,0,3,23,1
2022/09/02,0,0,3,23,2
2022/09/02,0,0,3,23,3
2022/09/02,4,0,7,23,4
2022/09/02,0,5,2,23,5
2022/09/02,0,0,0,24,1
2022/09/02,2,0,2,24,2
2022/09/02,0,0,2,24,3
2022/09/02,3,0,5,24,4
2022/09/02,0,5,0,24,5
2022/09/02,0,0,0,25,1
2022/09/02,0,0,0,25,2
2022/09/02,0,0,0,25,3
2022/09/02,1,0,1,25,4
2022/09/02,0,1,0,25,5
2022/09/02,0,0,0,26,1
2022/09/02,0,0,0,26,2
2022/09/02,0,0,0,26,3
2022/09/02,0,0,0,26,4
2022/09/02,0,0,0,26,5
2022/09/03,2,0,2,1,1
2022/09/03,0,0,2,1,2
2022/09/03,2,0,4,1,3
2022/09/03,1,0,5,1,4
2022/09/03,0,3,2,1,5
2022/09/03,0,0,0,2,1
2022/09/03,2,0,2,2,2
2022/09/03,1,0,3,2,3
