date,boarding_count,alighting_count,passenger_count,service_number,bus_stop_id
2022/08/02,1,1,2,7,3
2022/08/02,9,0,11,7,4
2022/08/02,0,8,3,7,5
2022/08/02,0,0,0,8,1
2022/08/02,4,0,4,8,2
2022/08/02,2,0,6,8,3
2022/08/02,9,0,15,8,4
2022/08/02,0,8,7,8,5
2022/08/02,0,0,0,9,1
2022/08/02,6,0,6,9,2
2022/08/02,2,0,8,9,3
2022/08/02,13,2,19,9,4
2022/08/02,2,18,3,9,5
2022/08/02,3,0,3,10,1
2022/08/02,6,0,9,10,2
2022/08/02,1,0,10,10,3
2022/08/02,6,1,15,10,4
2022/08/02,0,15,0,10,5
2022/08/02,1,0,1,11,1
2022/08/02,7,0,8,11,2
2022/08/02,1,0,9,11,3
2022/08/02,4,0,13,11,4
2022/08/02,0,12,1,11,5
2022/08/02,0,0,0,12,1
2022/08/02,1,0,1,12,2
2022/08/02,0,0,1,12,3
2022/08/02,7,0,8,12,4
2022/08/02,0,5,3,12,5
2022/08/02,0,0,0,13,1
2022/08/02,6,0,6,13,2
2022/08/02,1,0,7,13,3
2022/08/02,2,0,9,13,4
2022/08/02,0,6,3,13,5
2022/08/02,4,0,4,14,1
2022/08/02,2,0,6,14,2
2022/08/02,0,0,6,14,3
2022/08/02,8,0,14,14,4
2022/08/02,0,8,6,14,5
2022/08/02,3,0,3,15,1
2022/08/02,4,0,7,15,2
2022/08/02,0,0,7,15,3
2022/08/02,7,0,14,15,4
2022/08/02,0,10,4,15,5
2022/08/02,2,0,2,16,1
2022/08/02,0,0,2,16,2
2022/08/02,0,0,2,16,3
2022/08/02,7,0,9,16,4
2022/08/02,0,9,0,16,5
2022/08/02,5,0,5,17,1
2022/08/02,0,0,5,17,2
2022/08/02,0,0,5,17,3
2022/08/02,9,0,14,17,4
2022/08/02,0,10,4,17,5
2022/08/02,1,0,1,18,1
2022/08/02,1,0,2,18,2
2022/08/02,0,0,2,18,3
2022/08/02,5,0,7,18,4
2022/08/02,0,7,0,18,5
2022/08/02,0,0,0,19,1
2022/08/02,1,0,1,19,2
2022/08/02,0,0,1,19,3
2022/08/02,12,0,13,19,4
2022/08/02,0,13,0,19,5
2022/08/02,2,0,2,20,1
2022/08/02,1,0,3,20,2
2022/08/02,0,0,3,20,3
2022/08/02,5,0,8,20,4
2022/08/02,0,5,3,20,5
2022/08/02,5,0,5,21,1
2022/08/02,2,0,7,21,2
2022/08/02,0,0,7,21,3
2022/08/02,8,0,15,21,4
2022/08/02,0,8,7,21,5
2022/08/02,1,0,1,22,1
2022/08/02,0,0,1,22,2
2022/08/02,0,0,1,22,3
2022/08/02,2,0,3,22,4
2022/08/02,0,4,-1,22,5
2022/08/02,2,0,2,23,1
2022/08/02,0,0,2,23,2
2022/08/02,0,0,2,23,3
2022/08/02,0,0,2,23,4
2022/08/02,0,0,2,23,5
2022/08/02,2,0,2,24,1
2022/08/02,0,0,2,24,2
2022/08/02,0,0,2,24,3
2022/08/02,5,0,7,24,4
2022/08/02,0,4,3,24,5
2022/08/02,0,0,0,25,1
2022/08/02,0,0,0,25,2
2022/08/02,0,0,0,25,3
2022/08/02,0,0,0,25,4
2022/08/02,0,0,0,25,5
2022/08/02,2,0,2,26,1
2022/08/02,0,0,2,26,2
2022/08/02,0,0,2,26,3
2022/08/02,0,0,2,26,4
2022/08/02,0,0,2,26,5
2022/08/03,0,0,0,1,1
2022/08/03,3,0,3,1,2
2022/08/03,1,0,4,1,3
2022/08/03,3,0,7,1,4
2022/08/03,0,5,2,1,5
2022/08/03,1,0,1,2,1
2022/08/03,7,0,8,2,2
2022/08/03,0,0,8,2,3
2022/08/03,2,0,10,2,4
2022/08/03,0,7,3,2,5
2022/08/03,0,0,0,3,1
2022/08/03,7,0,7,3,2
2022/08/03,5,0,12,3,3
2022/08/03,10,3,19,3,4
2022/08/03,0,14,5,3,5
2022/08/03,0,0,0,4,1
2022/08/03,7,0,7,4,2
2022/08/03,3,0,10,4,3
2022/08/03,3,0,13,4,4
2022/08/03,1,12,2,4,5
2022/08/03,2,0,2,5,1
2022/08/03,6,0,8,5,2
