date,boarding_count,alighting_count,passenger_count,service_number,bus_stop_id
2022/07/01,2,0,2,1,1
2022/07/01,2,0,4,1,2
2022/07/01,0,0,4,1,3
2022/07/01,5,0,9,1,4
2022/07/01,0,5,4,1,5
2022/07/01,0,0,0,2,1
2022/07/01,10,0,10,2,2
2022/07/01,4,0,14,2,3
2022/07/01,3,0,17,2,4
2022/07/01,0,12,5,2,5
2022/07/01,1,0,1,3,1
2022/07/01,10,0,11,3,2
2022/07/01,3,0,14,3,3
2022/07/01,5,0,19,3,4
2022/07/01,0,18,1,3,5
2022/07/01,0,0,0,4,1
2022/07/01,2,0,2,4,2
2022/07/01,9,0,11,4,3
2022/07/01,3,0,14,4,4
2022/07/01,0,13,1,4,5
2022/07/01,3,0,3,5,1
2022/07/01,5,0,8,5,2
2022/07/01,3,0,11,5,3
2022/07/01,5,0,16,5,4
2022/07/01,0,11,5,5,5
2022/07/01,1,0,1,6,1
2022/07/01,5,0,6,6,2
2022/07/01,2,0,8,6,3
2022/07/01,4,0,12,6,4
2022/07/01,0,10,2,6,5
2022/07/01,0,0,0,7,1
2022/07/01,2,0,2,7,2
2022/07/01,1,0,3,7,3
2022/07/01,1,0,4,7,4
2022/07/01,0,4,0,7,5
2022/07/01,1,0,1,8,1
2022/07/01,5,0,6,8,2
2022/07/01,3,0,9,8,3
2022/07/01,3,0,12,8,4
2022/07/01,0,11,1,8,5
2022/07/01,1,0,1,9,1
2022/07/01,1,1,1,9,2
2022/07/01,1,0,2,9,3
2022/07/01,2,0,4,9,4
2022/07/01,0,4,0,9,5
2022/07/01,1,0,1,10,1
2022/07/01,1,0,2,10,2
2022/07/01,2,0,4,10,3
2022/07/01,7,0,11,10,4
2022/07/01,0,9,2,10,5
2022/07/01,2,0,2,11,1
2022/07/01,5,0,7,11,2
2022/07/01,0,0,7,11,3
2022/07/01,4,0,11,11,4
2022/07/01,0,6,5,11,5
2022/07/01,0,0,0,12,1
2022/07/01,1,0,1,12,2
2022/07/01,1,0,2,12,3
2022/07/01,8,0,10,12,4
2022/07/01,1,11,0,12,5
2022/07/01,0,0,0,13,1
2022/07/01,3,0,3,13,2
2022/07/01,2,0,5,13,3
2022/07/01,5,0,10,13,4
2022/07/01,0,10,0,13,5
2022/07/01,1,0,1,14,1
2022/07/01,3,0,4,14,2
2022/07/01,0,0,4,14,3
2022/07/01,5,0,9,14,4
2022/07/01,0,9,0,14,5
2022/07/01,3,0,3,15,1
2022/07/01,1,0,4,15,2
2022/07/01,0,0,4,15,3
2022/07/01,4,0,8,15,4
2022/07/01,0,8,0,15,5
2022/07/01,3,0,3,16,1
2022/07/01,2,0,5,16,2
2022/07/01,0,0,5,16,3
2022/07/01,2,0,7,16,4
2022/07/01,1,8,0,16,5
2022/07/01,8,0,8,17,1
2022/07/01,1,0,9,17,2
2022/07/01,0,0,9,17,3
2022/07/01,5,0,14,17,4
2022/07/01,0,7,7,17,5
2022/07/01,3,0,3,18,1
2022/07/01,1,0,4,18,2
2022/07/01,1,0,5,18,3
2022/07/01,7,0,12,18,4
2022/07/01,0,6,6,18,5
2022/07/01,0,0,0,19,1
2022/07/01,3,0,3,19,2
2022/07/01,1,0,4,19,3
2022/07/01,10,0,14,19,4
2022/07/01,0,14,0,19,5
2022/07/01,1,0,1,20,1
2022/07/01,2,0,3,20,2
2022/07/01,0,0,3,20,3
2022/07/01,0,0,3,20,4
2022/07/01,1,2,2,20,5
2022/07/01,1,0,1,21,1
2022/07/01,0,0,1,21,2
2022/07/01,0,0,1,21,3
2022/07/01,5,0,6,21,4
2022/07/01,1,6,1,21,5
2022/07/01,0,0,0,22,1
2022/07/01,0,0,0,22,2
2022/07/01,1,0,1,22,3
2022/07/01,3,0,4,22,4
2022/07/01,0,3,1,22,5
2022/07/01,1,0,1,23,1
2022/07/01,1,0,2,23,2
2022/07/01,0,0,2,23,3
2022/07/01,2,0,4,23,4
2022/07/01,0,4,0,23,5
2022/07/01,1,0,1,24,1
2022/07/01,0,0,1,24,2
2022/07/01,0,0,1,24,3
2022/07/01,3,0,4,24,4
2022/07/01,0,4,0,24,5
2022/07/01,0,0,0,25,1
2022/07/01,1,0,1,25,2
2022/07/01,0,0,1,25,3
2022/07/01,4,0,5,25,4
2022/07/01,1,6,0,25,5
2022/07/01,1,0,1,26,1
2022/07/01,0,0,1,26,2
2022/07/01,0,0,1,26,3
2022/07/01,1,0,2,26,4
2022/07/01,0,1,1,26,5
2022/07/02,0,0,0,1,1
2022/07/02,1,0,1,1,2
2022/07/02,3,0,4,1,3
2022/07/02,3,0,7,1,4
2022/07/02,1,2,6,1,5
2022/07/02,0,0,0,2,1
2022/07/02,3,0,3,2,2
2022/07/02,2,0,5,2,3
2022/07/02,3,0,8,2,4
2022/07/02,0,6,2,2,5
2022/07/02,,0,,3,1
2022/07/02,,,,3,2
2022/07/02,,,,3,3
2022/07/02,,,,3,4
2022/07/02,,,,3,5
2022/07/02,1,0,1,4,1
2022/07/02,2,0,3,4,2
2022/07/02,1,0,4,4,3
2022/07/02,5,0,9,4,4
2022/07/02,0,4,5,4,5
2022/07/02,1,0,1,5,1
2022/07/02,0,0,1,5,2
2022/07/02,0,0,1,5,3
2022/07/02,5,0,6,5,4
2022/07/02,0,5,1,5,5
2022/07/02,0,0,0,6,1
2022/07/02,3,0,3,6,2
2022/07/02,1,0,4,6,3
2022/07/02,0,0,4,6,4
2022/07/02,0,4,0,6,5
2022/07/02,2,0,2,7,1
2022/07/02,8,0,10,7,2
2022/07/02,0,0,10,7,3
2022/07/02,5,0,15,7,4
2022/07/02,0,14,1,7,5
2022/07/02,1,0,1,8,1
2022/07/02,5,0,6,8,2
2022/07/02,0,0,6,8,3
2022/07/02,3,0,9,8,4
2022/07/02,0,7,2,8,5
2022/07/02,3,0,3,9,1
2022/07/02,2,0,5,9,2
2022/07/02,3,0,8,9,3
2022/07/02,8,0,16,9,4
2022/07/02,0,13,3,9,5
2022/07/02,1,0,1,10,1
2022/07/02,1,0,2,10,2
2022/07/02,3,0,5,10,3
2022/07/02,11,0,16,10,4
2022/07/02,0,12,4,10,5
2022/07/02,0,0,0,11,1
2022/07/02,4,0,4,11,2
2022/07/02,0,0,4,11,3
2022/07/02,12,0,16,11,4
2022/07/02,0,15,1,11,5
2022/07/02,2,0,2,12,1
2022/07/02,3,0,5,12,2
2022/07/02,2,0,7,12,3
2022/07/02,8,0,15,12,4
2022/07/02,0,13,2,12,5
2022/07/02,3,0,3,13,1
2022/07/02,3,0,6,13,2
2022/07/02,2,0,8,13,3
2022/07/02,2,0,10,13,4
2022/07/02,0,8,2,13,5
2022/07/02,1,0,1,14,1
2022/07/02,2,0,3,14,2
2022/07/02,1,0,4,14,3
2022/07/02,5,0,9,14,4
2022/07/02,0,8,1,14,5
2022/07/02,1,0,1,15,1
2022/07/02,1,0,2,15,2
2022/07/02,0,0,2,15,3
2022/07/02,4,0,6,15,4
2022/07/02,0,5,1,15,5
2022/07/02,3,0,3,16,1
2022/07/02,5,0,8,16,2
2022/07/02,0,0,8,16,3
2022/07/02,5,0,13,16,4
2022/07/02,0,12,1,16,5
2022/07/02,0,0,0,17,1
2022/07/02,3,0,3,17,2
2022/07/02,1,0,4,17,3
2022/07/02,10,0,14,17,4
2022/07/02,0,12,2,17,5
2022/07/02,0,0,0,18,1
2022/07/02,3,0,3,18,2
2022/07/02,2,0,5,18,3
2022/07/02,2,0,7,18,4
2022/07/02,0,7,0,18,5
2022/07/02,0,0,0,19,1
2022/07/02,2,0,2,19,2
2022/07/02,1,0,3,19,3
2022/07/02,2,0,5,19,4
2022/07/02,0,5,0,19,5
2022/07/02,2,0,2,20,1
2022/07/02,0,0,2,20,2
2022/07/02,0,0,2,20,3
2022/07/02,5,0,7,20,4
2022/07/02,1,5,3,20,5
2022/07/02,4,0,4,21,1
2022/07/02,4,0,8,21,2
2022/07/02,0,0,8,21,3
2022/07/02,5,0,13,21,4
2022/07/02,0,11,2,21,5
2022/07/02,1,0,1,22,1
2022/07/02,0,0,1,22,2
2022/07/02,0,0,1,22,3
2022/07/02,1,0,2,22,4
2022/07/02,0,1,1,22,5
2022/07/02,0,0,0,23,1
2022/07/02,1,0,1,23,2
2022/07/02,0,0,1,23,3
2022/07/02,5,0,6,23,4
2022/07/02,0,6,0,23,5
2022/07/02,1,0,1,24,1
2022/07/02,0,0,1,24,2
2022/07/02,0,0,1,24,3
2022/07/02,0,0,1,24,4
2022/07/02,0,0,1,24,5
2022/07/02,6,0,6,25,1
2022/07/02,0,0,6,25,2
2022/07/02,0,0,6,25,3
2022/07/02,0,0,6,25,4
2022/07/02,0,5,1,25,5
2022/07/02,1,0,1,26,1
2022/07/02,0,0,1,26,2
2022/07/02,0,0,1,26,3
