date,boarding_count,alighting_count,passenger_count,service_number,bus_stop_id
2022/03/01,0,0,0,1,1
2022/03/01,2,0,2,1,2
2022/03/01,1,0,3,1,3
2022/03/01,3,0,6,1,4
2022/03/01,0,4,2,1,5
2022/03/01,0,0,0,2,1
2022/03/01,4,0,4,2,2
2022/03/01,2,0,6,2,3
2022/03/01,2,0,8,2,4
2022/03/01,0,7,1,2,5
2022/03/01,1,0,1,3,1
2022/03/01,6,0,7,3,2
2022/03/01,5,0,12,3,3
2022/03/01,4,0,16,3,4
2022/03/01,0,16,0,3,5
2022/03/01,3,0,3,4,1
2022/03/01,2,0,5,4,2
2022/03/01,9,0,14,4,3
2022/03/01,4,0,18,4,4
2022/03/01,0,12,6,4,5
2022/03/01,1,0,1,5,1
2022/03/01,4,0,5,5,2
2022/03/01,5,0,10,5,3
2022/03/01,5,0,15,5,4
2022/03/01,0,15,0,5,5
2022/03/01,1,0,1,6,1
2022/03/01,5,0,6,6,2
2022/03/01,1,0,7,6,3
2022/03/01,7,0,14,6,4
2022/03/01,0,12,2,6,5
2022/03/01,0,0,0,7,1
2022/03/01,0,0,0,7,2
2022/03/01,0,0,0,7,3
2022/03/01,4,0,4,7,4
2022/03/01,0,5,-1,7,5
2022/03/01,0,0,0,8,1
2022/03/01,5,0,5,8,2
2022/03/01,1,0,6,8,3
2022/03/01,5,0,11,8,4
2022/03/01,1,8,4,8,5
2022/03/01,0,0,0,9,1
2022/03/01,6,0,6,9,2
2022/03/01,1,0,7,9,3
2022/03/01,4,0,11,9,4
2022/03/01,0,11,0,9,5
2022/03/01,3,0,3,10,1
2022/03/01,1,0,4,10,2
2022/03/01,0,0,4,10,3
2022/03/01,7,0,11,10,4
2022/03/01,0,5,6,10,5
2022/03/01,7,0,7,11,1
2022/03/01,2,0,2,11,2
2022/03/01,3,0,5,11,3
2022/03/01,0,0,5,11,4
2022/03/01,0,4,1,11,5
2022/03/01,0,0,0,12,1
2022/03/01,0,0,1,12,2
2022/03/01,0,0,1,12,3
2022/03/01,3,0,4,12,4
2022/03/01,0,4,0,12,5
2022/03/01,1,0,1,13,1
2022/03/01,1,0,8,13,2
2022/03/01,2,0,10,13,3
2022/03/01,2,0,12,13,4
2022/03/01,0,3,9,13,5
2022/03/01,1,0,1,14,1
2022/03/01,3,0,4,14,2
2022/03/01,0,0,4,14,3
2022/03/01,5,0,9,14,4
2022/03/01,0,6,3,14,5
2022/03/01,1,0,1,15,1
2022/03/01,6,0,7,15,2
2022/03/01,2,0,9,15,3
2022/03/01,4,0,13,15,4
2022/03/01,0,13,0,15,5
2022/03/01,0,0,0,16,1
2022/03/01,1,0,1,16,2
2022/03/01,0,0,1,16,3
2022/03/01,5,1,5,16,4
2022/03/01,0,1,4,16,5
2022/03/01,5,0,5,17,1
2022/03/01,2,0,7,17,2
2022/03/01,1,0,8,17,3
2022/03/01,1,0,9,17,4
2022/03/01,0,4,5,17,5
2022/03/01,1,0,1,18,1
2022/03/01,0,0,1,18,2
2022/03/01,2,0,3,18,3
2022/03/01,3,0,6,18,4
2022/03/01,0,4,2,18,5
2022/03/01,1,0,1,19,1
2022/03/01,2,0,3,19,2
2022/03/01,1,0,4,19,3
2022/03/01,7,0,11,19,4
2022/03/01,0,10,1,19,5
2022/03/01,2,0,2,20,1
2022/03/01,1,0,3,20,2
2022/03/01,0,0,3,20,3
2022/03/01,3,0,6,20,4
2022/03/01,0,4,2,20,5
2022/03/01,2,0,2,21,1
2022/03/01,1,0,3,21,2
2022/03/01,0,0,3,21,3
2022/03/01,7,0,10,21,4
2022/03/01,0,7,3,21,5
2022/03/01,0,0,0,22,1
