date,boarding_count,alighting_count,passenger_count,service_number,bus_stop_id
2022/01/01,0,0,0,1,1
2022/01/01,1,0,1,1,2
2022/01/01,0,0,1,1,3
2022/01/01,1,0,2,1,4
2022/01/01,0,1,1,1,5
2022/01/01,0,0,0,2,1
2022/01/01,0,0,0,2,2
2022/01/01,0,0,0,2,3
2022/01/01,0,0,0,2,4
2022/01/01,0,0,0,2,5
2022/01/01,1,0,1,3,1
2022/01/01,0,1,0,3,2
2022/01/01,0,0,0,3,3
2022/01/01,2,1,1,3,4
2022/01/01,0,4,-3,3,5
2022/01/01,1,0,1,4,1
2022/01/01,0,0,1,4,2
2022/01/01,2,0,3,4,3
2022/01/01,9,0,12,4,4
2022/01/01,0,6,6,4,5
2022/01/01,0,0,0,5,1
2022/01/01,2,0,2,5,2
2022/01/01,0,0,2,5,3
2022/01/01,3,0,5,5,4
2022/01/01,0,2,3,5,5
2022/01/01,0,0,0,6,1
2022/01/01,2,1,1,6,2
2022/01/01,0,0,1,6,3
2022/01/01,3,0,4,6,4
2022/01/01,1,2,3,6,5
2022/01/01,1,0,1,7,1
2022/01/01,0,0,1,7,2
2022/01/01,0,0,1,7,3
2022/01/01,7,0,8,7,4
2022/01/01,0,1,7,7,5
2022/01/01,0,0,0,8,1
2022/01/01,1,0,1,8,2
2022/01/01,2,0,3,8,3
2022/01/01,4,0,7,8,4
2022/01/01,0,5,2,8,5
2022/01/01,0,0,0,9,1
2022/01/01,4,1,3,9,2
2022/01/01,1,0,4,9,3
2022/01/01,12,0,16,9,4
2022/01/01,0,19,-3,9,5
2022/01/01,4,0,4,10,1
2022/01/01,0,0,4,10,2
2022/01/01,5,0,9,10,3
2022/01/01,8,0,17,10,4
2022/01/01,0,12,5,10,5
2022/01/01,2,0,2,11,1
2022/01/01,3,1,4,11,2
2022/01/01,0,0,4,11,3
2022/01/01,7,0,11,11,4
2022/01/01,1,9,3,11,5
2022/01/01,1,0,1,12,1
2022/01/01,1,0,2,12,2
2022/01/01,0,0,2,12,3
2022/01/01,2,0,4,12,4
2022/01/01,0,1,3,12,5
2022/01/01,1,0,1,13,1
2022/01/01,2,0,3,13,2
2022/01/01,2,0,5,13,3
2022/01/01,2,0,7,13,4
2022/01/01,0,6,1,13,5
2022/01/01,0,0,0,14,1
2022/01/01,3,0,3,14,2
2022/01/01,0,0,3,14,3
2022/01/01,5,0,8,14,4
2022/01/01,0,8,0,14,5
2022/01/01,0,0,0,15,1
2022/01/01,0,0,0,15,2
2022/01/01,2,0,2,15,3
2022/01/01,5,0,7,15,4
2022/01/01,0,6,1,15,5
2022/01/01,0,0,0,16,1
2022/01/01,0,1,-1,16,2
2022/01/01,0,0,-1,16,3
2022/01/01,4,1,2,16,4
2022/01/01,1,2,1,16,5
2022/01/01,2,0,2,17,1
2022/01/01,6,0,8,17,2
2022/01/01,0,0,8,17,3
2022/01/01,3,0,11,17,4
2022/01/01,0,8,3,17,5
2022/01/01,0,0,0,18,1
2022/01/01,0,0,0,18,2
2022/01/01,0,0,0,18,3
2022/01/01,0,0,0,18,4
2022/01/01,0,0,0,18,5
2022/01/01,1,0,1,19,1
2022/01/01,0,0,1,19,2
2022/01/01,0,0,1,19,3
2022/01/01,3,1,3,19,4
2022/01/01,1,5,-1,19,5
2022/01/01,1,0,1,20,1
2022/01/01,0,0,1,20,2
2022/01/01,0,0,1,20,3
2022/01/01,1,0,2,20,4
2022/01/01,0,0,2,20,5
2022/01/01,3,0,3,21,1
2022/01/01,1,0,4,21,2
2022/01/01,0,0,4,21,3
2022/01/01,7,0,11,21,4
2022/01/01,0,6,5,21,5
2022/01/01,0,0,0,22,1
2022/01/01,0,0,0,22,2
2022/01/01,0,0,0,22,3
2022/01/01,2,0,2,22,4
2022/01/01,0,2,0,22,5
2022/01/01,0,0,0,23,1
2022/01/01,0,0,0,23,2
2022/01/01,0,0,0,23,3
2022/01/01,6,0,6,23,4
2022/01/01,0,3,3,23,5
2022/01/01,2,0,2,24,1
2022/01/01,0,0,2,24,2
2022/01/01,0,0,2,24,3
2022/01/01,1,0,3,24,4
2022/01/01,0,1,2,24,5
2022/01/01,0,0,0,25,1
2022/01/01,0,0,0,25,2
2022/01/01,0,0,0,25,3
2022/01/01,0,0,0,25,4
2022/01/01,0,1,-1,25,5
2022/01/01,1,0,1,26,1
2022/01/01,0,0,1,26,2
2022/01/01,0,0,1,26,3
2022/01/01,4,0,5,26,4
2022/01/01,0,2,3,26,5
2022/01/02,1,0,1,1,1
2022/01/02,0,0,1,1,2
2022/01/02,1,0,2,1,3
2022/01/02,6,1,7,1,4
2022/01/02,0,4,3,1,5
2022/01/02,0,0,0,2,1
2022/01/02,0,0,0,2,2
2022/01/02,0,0,0,2,3
2022/01/02,1,0,1,2,4
2022/01/02,0,1,0,2,5
2022/01/02,1,0,1,3,1
2022/01/02,0,0,1,3,2
2022/01/02,0,0,1,3,3
2022/01/02,4,0,5,3,4
2022/01/02,0,5,0,3,5
2022/01/02,5,0,5,4,1
2022/01/02,0,0,5,4,2
2022/01/02,0,0,5,4,3
2022/01/02,3,0,8,4,4
2022/01/02,0,3,5,4,5
2022/01/02,4,0,4,5,1
2022/01/02,1,0,5,5,2
2022/01/02,2,0,7,5,3
2022/01/02,0,0,7,5,4
2022/01/02,0,3,4,5,5
2022/01/02,0,0,0,6,1
2022/01/02,1,0,1,6,2
2022/01/02,2,0,3,6,3
2022/01/02,4,0,7,6,4
2022/01/02,0,4,3,6,5
2022/01/02,6,0,6,7,1
2022/01/02,0,0,6,7,2
2022/01/02,2,0,8,7,3
2022/01/02,1,0,9,7,4
2022/01/02,0,4,5,7,5
2022/01/02,1,0,1,8,1
2022/01/02,5,0,6,8,2
2022/01/02,3,0,9,8,3
2022/01/02,15,0,24,8,4
2022/01/02,0,20,4,8,5
2022/01/02,3,0,3,9,1
