date,boarding_count,alighting_count,passenger_count,service_number,bus_stop_id
2021/11/01,,,,1,1
2021/11/01,,,,1,2
2021/11/01,,,,1,3
2021/11/01,,,,1,4
2021/11/01,,,,1,5
2021/11/01,0,0,0,2,1
2021/11/01,8,0,8,2,2
2021/11/01,2,0,10,2,3
2021/11/01,2,0,12,2,4
2021/11/01,0,11,1,2,5
2021/11/01,0,0,0,3,1
2021/11/01,10,1,9,3,2
2021/11/01,6,0,15,3,3
2021/11/01,6,1,20,3,4
2021/11/01,1,19,2,3,5
2021/11/01,,,,4,1
2021/11/01,,,,4,2
2021/11/01,,,,4,3
2021/11/01,,,,4,4
2021/11/01,,,,4,5
2021/11/01,0,0,0,5,1
2021/11/01,2,0,2,5,2
2021/11/01,3,0,5,5,3
2021/11/01,3,0,8,5,4
2021/11/01,0,7,1,5,5
2021/11/01,0,0,0,6,1
2021/11/01,3,1,2,6,2
2021/11/01,2,0,4,6,3
2021/11/01,6,0,10,6,4
2021/11/01,1,7,4,6,5
2021/11/01,,,,7,1
2021/11/01,,,,7,2
2021/11/01,,,,7,3
2021/11/01,,,,7,4
2021/11/01,,,,7,5
2021/11/01,1,0,1,8,1
2021/11/01,0,0,1,8,2
2021/11/01,1,0,2,8,3
2021/11/01,8,0,10,8,4
2021/11/01,0,9,1,8,5
2021/11/01,0,0,0,9,1
2021/11/01,2,0,2,9,2
2021/11/01,4,0,6,9,3
2021/11/01,5,1,10,9,4
2021/11/01,1,12,-1,9,5
2021/11/01,,,,10,1
2021/11/01,,,,10,2
2021/11/01,,,,10,3
2021/11/01,,,,10,4
2021/11/01,,,,10,5
2021/11/01,2,0,2,11,1
2021/11/01,4,0,6,11,2
2021/11/01,1,0,7,11,3
2021/11/01,4,1,10,11,4
2021/11/01,1,7,4,11,5
2021/11/01,,,,12,1
2021/11/01,,,,12,2
2021/11/01,,,,12,3
2021/11/01,,,,12,4
2021/11/01,,,,12,5
2021/11/01,0,0,0,13,1
2021/11/01,3,0,3,13,2
2021/11/01,0,0,3,13,3
2021/11/01,1,0,4,13,4
2021/11/01,0,4,0,13,5
2021/11/01,,,,14,1
2021/11/01,,,,14,2
2021/11/01,,,,14,3
2021/11/01,,,,14,4
2021/11/01,,,,14,5
2021/11/01,1,0,1,15,1
2021/11/01,2,0,3,15,2
2021/11/01,0,0,3,15,3
2021/11/01,12,0,15,15,4
2021/11/01,0,9,6,15,5
2021/11/01,0,0,0,16,1
2021/11/01,0,0,0,16,2
2021/11/01,0,0,0,16,3
2021/11/01,5,0,5,16,4
2021/11/01,0,4,1,16,5
2021/11/01,,,,17,1
2021/11/01,,,,17,2
2021/11/01,,,,17,3
2021/11/01,,,,17,4
2021/11/01,,,,17,5
2021/11/01,1,0,1,18,1
2021/11/01,1,0,2,18,2
2021/11/01,2,0,4,18,3
2021/11/01,3,0,7,18,4
2021/11/01,0,2,5,18,5
2021/11/01,1,0,1,19,1
2021/11/01,2,0,3,19,2
2021/11/01,3,0,6,19,3
2021/11/01,15,0,21,19,4
2021/11/01,0,16,5,19,5
2021/11/01,,,,20,1
2021/11/01,,,,20,2
2021/11/01,,,,20,3
2021/11/01,,,,20,4
2021/11/01,,,,20,5
2021/11/01,7,0,7,21,1
2021/11/01,1,0,8,21,2
2021/11/01,0,0,8,21,3
2021/11/01,1,0,9,21,4
2021/11/01,0,4,5,21,5
2021/11/01,0,0,0,22,1
2021/11/01,2,0,2,22,2
2021/11/01,1,0,3,22,3
2021/11/01,6,0,9,22,4
2021/11/01,0,9,0,22,5
2021/11/01,,,,23,1
2021/11/01,,,,23,2
2021/11/01,,,,23,3
2021/11/01,,,,23,4
2021/11/01,,,,23,5
2021/11/01,2,0,2,24,1
2021/11/01,1,0,3,24,2
2021/11/01,0,0,3,24,3
2021/11/01,1,0,4,24,4
2021/11/01,0,1,3,24,5
2021/11/01,2,0,2,25,1
2021/11/01,0,0,2,25,2
2021/11/01,0,0,2,25,3
2021/11/01,0,0,2,25,4
2021/11/01,0,1,1,25,5
2021/11/01,1,0,1,26,1
