date,boarding_count,alighting_count,passenger_count,service_number,bus_stop_id
2021/12/01,0,0,0,1,1
2021/12/01,1,0,1,1,2
2021/12/01,1,0,2,1,3
2021/12/01,2,0,4,1,4
2021/12/01,0,3,1,1,5
2021/12/01,1,0,1,2,1
2021/12/01,8,0,9,2,2
2021/12/01,3,0,12,2,3
2021/12/01,6,0,18,2,4
2021/12/01,0,11,7,2,5
2021/12/01,1,0,1,3,1
2021/12/01,11,0,12,3,2
2021/12/01,5,0,17,3,3
2021/12/01,3,0,20,3,4
2021/12/01,0,18,2,3,5
2021/12/01,1,0,1,4,1
2021/12/01,3,0,4,4,2
2021/12/01,6,0,10,4,3
2021/12/01,7,0,17,4,4
2021/12/01,0,14,3,4,5
2021/12/01,2,0,2,5,1
2021/12/01,6,0,8,5,2
2021/12/01,4,0,12,5,3
2021/12/01,3,0,15,5,4
2021/12/01,0,14,1,5,5
2021/12/01,0,0,0,6,1
2021/12/01,0,0,0,6,2
2021/12/01,0,0,0,6,3
2021/12/01,4,0,4,6,4
2021/12/01,0,3,1,6,5
2021/12/01,0,0,0,7,1
2021/12/01,4,0,4,7,2
2021/12/01,4,0,8,7,3
2021/12/01,3,0,11,7,4
2021/12/01,0,10,1,7,5
2021/12/01,2,0,2,8,1
2021/12/01,5,0,7,8,2
2021/12/01,1,0,8,8,3
2021/12/01,10,0,18,8,4
2021/12/01,0,16,2,8,5
2021/12/01,1,0,1,9,1
2021/12/01,4,0,5,9,2
2021/12/01,0,0,5,9,3
2021/12/01,7,0,12,9,4
2021/12/01,1,10,3,9,5
2021/12/01,2,0,2,10,1
2021/12/01,5,0,7,10,2
2021/12/01,0,0,7,10,3
2021/12/01,7,0,14,10,4
2021/12/01,0,7,7,10,5
2021/12/01,5,0,5,11,1
2021/12/01,2,0,7,11,2
2021/12/01,1,0,8,11,3
2021/12/01,5,0,13,11,4
2021/12/01,0,5,8,11,5
2021/12/01,1,0,1,12,1
2021/12/01,4,0,5,12,2
2021/12/01,2,0,7,12,3
2021/12/01,7,0,14,12,4
2021/12/01,0,11,3,12,5
2021/12/01,0,0,0,13,1
2021/12/01,1,0,1,13,2
2021/12/01,4,0,5,13,3
2021/12/01,1,0,6,13,4
2021/12/01,0,4,2,13,5
2021/12/01,3,0,3,14,1
2021/12/01,0,0,3,14,2
2021/12/01,0,0,3,14,3
2021/12/01,4,0,7,14,4
2021/12/01,0,4,3,14,5
2021/12/01,2,0,2,15,1
2021/12/01,0,0,2,15,2
2021/12/01,0,0,2,15,3
2021/12/01,7,1,8,15,4
2021/12/01,0,8,0,15,5
2021/12/01,0,0,0,16,1
2021/12/01,2,0,2,16,2
2021/12/01,0,0,2,16,3
